dataset,query_id,objective_count,method,epsilon,status,certified,paths,reference_kind,reference_size,reference_configurations,empirical_epsilon,load_seconds,preprocess_seconds,search_seconds,total_seconds,peak_rss_mb,expanded,labels,merged,file
BAY,0018,5,apex_open_merge,0.2,epsilon_cover,True,13,unavailable_single_config,13,1,,0.616567213,0.697937053,0.202378599,1.528199986,113,231825,232231,69730,BAY_0018_m5_e0.2_623ca66ae5aa1c2d.json
BAY,0019,2,NAMOA_dr_goal_epsilon,0.0,exact,True,49,exact,49,2,0.0,0.722447619,0.4039768,0.014226771,1.141935785,82,21717,26370,0,BAY_0019_m2_e0.0_d15356d0af1cce66.json
BAY,0019,2,apex_open_merge,0.2,epsilon_cover,True,5,exact,49,2,0.023434773581655133,0.597574285,0.36831215,0.008211543,0.97625842,69,0,1,0,BAY_0019_m2_e0.2_ca832b51c85f1952.json
BAY,0019,3,apex_open_merge,0.2,epsilon_cover,True,9,unavailable_single_config,9,1,,0.73375933,0.524389105,0.009111033,1.269899988,69,0,1,0,BAY_0019_m3_e0.2_594dde2dd7f97e97.json
BAY,0019,5,apex_open_merge,0.2,epsilon_cover,True,10,unavailable_single_config,10,1,,0.734342892,0.677755928,0.009757888,1.424025102,69,0,1,0,BAY_0019_m5_e0.2_971763c4ba339e75.json
BAY,0020,2,NAMOA_dr_goal_epsilon,0.0,exact,True,62,exact,62,2,0.0,0.755549749,0.704758998,0.075569484,1.537614468,82,130530,146015,0,BAY_0020_m2_e0.0_6ffce32e320efc85.json
BAY,0020,2,apex_open_merge,0.2,epsilon_cover,True,3,exact,62,2,0.08424249212175505,0.760772363,0.709938247,0.010967976,1.484488808,69,0,1,0,BAY_0020_m2_e0.2_57f76802b09695cf.json
BAY,0020,3,apex_open_merge,0.2,epsilon_cover,True,9,unavailable_single_config,9,1,,0.737346697,0.672387431,0.054334713,1.469033917,81,71551,71551,13764,BAY_0020_m3_e0.2_2031d085597807ed.json
BAY,0020,5,apex_open_merge,0.2,epsilon_cover,True,12,unavailable_single_config,12,1,,0.734105849,0.795610107,0.079090016,1.614002918,83,87416,87468,18693,BAY_0020_m5_e0.2_7585cafd3581c134.json
BAY,0021,2,NAMOA_dr_goal_epsilon,0.0,exact,True,11,exact,11,2,0.0,0.74022909,0.407712443,0.005815534,1.154809611,90,1084,1142,0,BAY_0021_m2_e0.0_723581dcc7a15119.json
BAY,0021,2,apex_open_merge,0.2,epsilon_cover,True,3,exact,11,2,0.0013686899187201895,0.61638767,0.349189007,0.008466535,0.976319921,68,0,1,0,BAY_0021_m2_e0.2_876ba47b65a1c801.json
BAY,0021,3,apex_open_merge,0.2,epsilon_cover,True,10,unavailable_single_config,10,1,,0.750476077,0.552239135,0.038871661,1.346566807,71,43502,43801,9542,BAY_0021_m3_e0.2_2baf65382cf434d5.json
BAY,0021,5,apex_open_merge,0.2,epsilon_cover,True,11,unavailable_single_config,11,1,,0.624118527,0.640797162,0.032319241,1.301536974,71,39269,39269,10781,BAY_0021_m5_e0.2_d25cf8130b1e25f7.json
BAY,0022,2,NAMOA_dr_goal_epsilon,0.0,exact,True,407,exact,407,2,0.0,0.73257305,0.856952871,1.910112861,3.505309699,192,1597749,1792099,0,BAY_0022_m2_e0.0_57b0dc75bfde8358.json
BAY,0022,2,apex_open_merge,0.2,epsilon_cover,True,4,exact,407,2,0.059931444562731695,0.61251702,0.797211341,0.009951346,1.422202378,69,0,1,0,BAY_0022_m2_e0.2_5b7fdd6971b17f25.json
BAY,0022,3,apex_open_merge,0.2,epsilon_cover,True,9,unavailable_single_config,9,1,,0.743274122,0.873663837,0.077670278,1.70257425,84,101205,101205,28120,BAY_0022_m3_e0.2_7eda4f0b1d3d3b4c.json
BAY,0022,5,apex_open_merge,0.2,epsilon_cover,True,16,unavailable_single_config,16,1,,0.748545448,1.016992852,3.043744849,4.849655165,312,1585128,1593310,528126,BAY_0022_m5_e0.2_6b20c5e2fbf44e9c.json
BAY,0023,2,NAMOA_dr_goal_epsilon,0.0,exact,True,26,exact,26,2,0.0,0.729551582,0.747751033,0.024103672,1.502857643,102,41435,48902,0,BAY_0023_m2_e0.0_64e676bcb56cd1dc.json
BAY,0023,2,apex_open_merge,0.2,epsilon_cover,True,6,exact,26,2,0.020549399993980533,0.622081006,0.647019088,0.009410545,1.280811727,69,0,1,0,BAY_0023_m2_e0.2_f77695a3818f3121.json
BAY,0023,3,apex_open_merge,0.2,epsilon_cover,True,11,unavailable_single_config,11,1,,0.634919738,0.800868522,0.157918195,1.605112434,104,156040,156040,47246,BAY_0023_m3_e0.2_cd20c26902a927e0.json
BAY,0023,5,apex_open_merge,0.2,epsilon_cover,True,13,unavailable_single_config,13,1,,0.763203021,0.993208237,2.234949054,4.027022348,200,1035045,1039018,372963,BAY_0023_m5_e0.2_f61e057ab1169265.json
