dataset,query_id,objective_count,method,epsilon,status,certified,paths,reference_kind,reference_size,reference_configurations,empirical_epsilon,load_seconds,preprocess_seconds,search_seconds,total_seconds,peak_rss_mb,expanded,file
BAY,0015,3,weighted_seeds,0.0,seed_only,False,11,pooled_empirical,11,4,0.0,0.729168016,0.919502858,0,1.648673591,69,0,BAY_0015_m3_seed_0134048ea509c013.json
BAY,0015,5,NAMOA_dr_goal_epsilon,0.05,time_limit,False,12,pooled_empirical,12,4,0.0,0.752820521,1.00612786,30.00484328,31.78851456,528,4933891,BAY_0015_m5_e0.05_6bebb99c48b33fea.json
BAY,0015,5,NAMOA_dr_goal_epsilon,0.1,time_limit,False,12,pooled_empirical,12,4,0.0,0.601299611,0.875073175,30.00406326,31.49841762,528,4095514,BAY_0015_m5_e0.1_f9dbce964bcb9217.json
BAY,0015,5,NAMOA_dr_goal_epsilon,0.2,time_limit,False,12,pooled_empirical,12,4,0.0,0.636836025,1.018371497,30.00714511,31.6810716,311,3308965,BAY_0015_m5_e0.2_faa7e75b8e451d42.json
BAY,0015,5,weighted_seeds,0.0,seed_only,False,12,pooled_empirical,12,4,0.0,0.753601695,1.181012449,0,1.934617267,69,0,BAY_0015_m5_seed_9bdd3c907c2aa65b.json
BAY,0016,2,NAMOA_dr_goal_epsilon,0.0,exact,True,98,exact,98,2,0.0,0.7605853,0.365153942,0.019258211,1.147522078,86,31106,BAY_0016_m2_e0.0_c5ca06ee9a6da5ea.json
BAY,0016,2,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,2,exact,98,2,0.015848079550147665,0.788123793,0.413784423,0.008981912,1.213538114,68,0,BAY_0016_m2_e0.2_a67a78dabd4680ca.json
BAY,0016,3,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,10,unavailable_single_config,10,1,,0.759590276,0.457535245,0.049502466,1.269157987,68,68244,BAY_0016_m3_e0.2_78e816f11bee2c59.json
BAY,0016,5,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,15,unavailable_single_config,15,1,,0.793008008,0.79655767,0.649890857,2.244560172,97,279505,BAY_0016_m5_e0.2_b39ef6093a8e0907.json
BAY,0017,2,NAMOA_dr_goal_epsilon,0.0,exact,True,41,exact,41,2,0.0,0.71503173,0.759647853,0.016925668,1.492828667,86,30377,BAY_0017_m2_e0.0_f17534b19e5f4e7f.json
BAY,0017,2,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,6,exact,41,2,0.020642479898962174,0.660288905,0.894279611,0.007230657,1.564258538,69,0,BAY_0017_m2_e0.2_c9174dcea1188873.json
BAY,0017,3,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,10,unavailable_single_config,10,1,,0.761922605,0.811402822,0.00675453,1.582057789,68,0,BAY_0017_m3_e0.2_eed3900ec1db09b4.json
BAY,0017,5,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,11,unavailable_single_config,11,1,,0.760088193,0.923991931,0.027176406,1.713564238,68,33698,BAY_0017_m5_e0.2_1d7181fd2c652af8.json
BAY,0018,2,NAMOA_dr_goal_epsilon,0.0,exact,True,306,exact,306,2,0.0,0.725583091,0.552327856,0.55421602,1.8361668,136,547398,BAY_0018_m2_e0.0_484b6ae0452634fc.json
BAY,0018,2,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,4,exact,306,2,0.12574934567074392,0.785551877,0.748873039,0.015105605,1.552176367,68,22256,BAY_0018_m2_e0.2_3eb485a0d6b95499.json
BAY,0018,3,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,11,unavailable_single_config,11,1,,0.786449041,0.858658007,7.341124208,9.013134016,304,2134566,BAY_0018_m3_e0.2_829bf7c36036a23a.json
BAY,0018,5,NAMOA_dr_goal_epsilon,0.2,time_limit,False,11,unavailable_single_config,11,1,,0.759036713,0.89347238,30.00158922,31.66958675,305,2211799,BAY_0018_m5_e0.2_61fca7ed25bf4144.json
BAY,0019,2,NAMOA_dr_goal_epsilon,0.0,exact,True,49,exact,49,2,0.0,0.724303435,0.405605927,0.014091258,1.145285499,86,21717,BAY_0019_m2_e0.0_9dc49b6bd6e94f57.json
BAY,0019,2,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,5,exact,49,2,0.023434773581655133,0.75738681,0.47685716,0.006958299,1.243189216,69,0,BAY_0019_m2_e0.2_632fd2527cad9449.json
BAY,0019,3,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,9,unavailable_single_config,9,1,,0.773459499,0.691343822,0.008010418,1.475250663,68,0,BAY_0019_m3_e0.2_8031bae1581a23b3.json
BAY,0019,5,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,10,unavailable_single_config,10,1,,0.639496705,0.664585193,0.006104036,1.312010646,69,0,BAY_0019_m5_e0.2_9b4214c7bdaf0c34.json
